accountant	bookkeeper,woofter (a person counts on a table with a weaved grid to count,read exchequer),teller
accurate	swotle
accusative	wrayingly
acendliness	n	possibility
acer negundo	box elder,maple ash
acer saccharinum	silver maple
aceratherium	genus aceratherium	hornlesswight	newbirthing
ache	n	suffering
acheful	adj	painful
achelove	n	masochism
achelover	n	masochist
achelust	n	masochism
acheluster	n	masochist
acheness	n	pain
achillea millefolium	yarrow
achillea ptarmica	sneezeweed,goose tung.
acknow	v	recognise
acknowledge	v	admit
acknowledge	v	award
acknowledge	v	confess
acknowledge besteady	v	confirm
acknowledge yeme	v	recognise
acknowledged	n/adj.	official
acknowledgement inlief	n	credit
acknowledging	n	confession
acomingliness	n	possibility
acomingly	adj	possible
aconitum lagoctonum	hare's bane
aconitum lycococtonum	wolf's bane,wolfwort.
aconitum napellus	flintwort,wolf's bane,deadly-dwale
aconitum vulparia	foxbane
acorn-calf	n	of animals and people: a runt,a weakling. (a belief that a cow that ate too many acorns produced weak off-spring.
acorns	n	the testicles
acorus calamus	beewort,bee-wort.
acoustics	swaylore
acraft	devise	acræftan
acraft	v	devise,think up
acraft	v	to think out devise plan contrive as a craftsman, [oe acræftan]
acre foot	adj	large-footed.
acronym	tipname
actaea	baneberry,bugbane,thung
actinides	kernel ores
actinium	89	beaming ore/stone	half-calque,see that this has the same word root as radium.
acumendliness	n	possibility
acumendly	adj	possible
acun	v	experience
acweeth	v	declare,say forth
acwench	v	be extinguished,eclipsed
adagio	slow
adamantinasuchus	genus adamantinasuchus	adamantinenix	chalken
add (to)	toyeke (to-y-eke @oe tógeíecan),gain
addax	addax nasomaculatus	whitebuck, screwhornbuck
addel ablend	v	confuse
adder slang	n	serpent
addition	ateke [pl ateken] (at-eke@oe ætéaca),eke [pl eken] (@oe éaca),overeke [pl overeken] (@oe oferéaca),toyightness (to-y-ight-ness@oe tógeíhtnes)
addle
addle	n	disease
addle	v	confound
addle	v	languish
addle	v	to earn by one's own labour.
addlebrain	n	bungler
addled	adj	drunk,intoxicated.
addled	adj	tampered with,rendered unproductive, tampered,corrupted [uncommon with extension in meaning,from me adel,foul,from oe adela,mud]
addlehead	n	bungler
addleness	n	putrefaction, rotten-ness [adel,foul,from oe adela,mud & ness]
addleware	n	neologism: the array,variety and number of goods found on the shelves of supermarkets that confuse and sometimes muddle older customers., [addle: muddle,confuse & ware: goods,products.]
adiantum capillus	maidenhair fern
adiaphora	middlethings
adight	n	poem
adiley offship	v	abolish
adj	ambiguous
adj	ineffective
adj	philological
adj	pleasant
adj	precise
adj	social/societal
adj:	twimade	n/adj	bastard
adj: careless	adj/adv	indifferent
adj: dern	adj/n	secret
adj: everyday	vb/adj	frequent
adj: fieryn: tinder adj: fireworthy n: tinderkin	n/adj	combustible
adj: outer	n/adj	exterior
adj: over	adj/pfx	super
adj: sharp	adj/vb	clear
adj: thedish n: theder	n/adj	unionist
adj: undersea n: u-boat	n/adj	submarine
adj:lofty	n/adj	epic
adjectival	honewordy
adjective	honeword
administer	atthane
administrative division	wike,gow (@oe gā,cf. german gau)
admit to hospital	v	admit
adnexa	outgrowths
ado	n	hullabaloo
adrech	v	extinguish
adree	v	endure,last,hold out., suffer,bear,do [oe. dreogan: to do,endure,suffer]
adreminte	adrelwort (perhaps a misspelling of adderwort),feverfew.
adv	finally
adv/
adv/phr	essentially
adv: all right	n/adj	fine
adverb	fareword (wordes gefera, fere=companion),likeword
adwell	v	allure
adwell	v	attract
adwell	v	seduce, [oe adwellan]
ae	n (plural ae)	life, life,ferrow [oe ǽ]
ae right	n/adj	ritual
aegopodium podagraria (goutwort)	ground elder,goat's foot,acheweed
aerobiology	lifefrod of the sky
aerology	skylore
aesthetics	fairlore (cf. ic. fagurfræði)
afanding	n	experience, [a- + fand 'try,test out' +-ing]
afare	v	experience
afared	adj	experienced
afaring	n	experience
afear	terrify,make afraid	afæran
afear	v	terrify
afford	v	provide
afford	v	supply
affright	eyse	v	terrify
affright	v	horrify
afgod	n	idol,false god, graven image [obsolete since ad1100,from oe af,of,aef,away + god 'superhuman deity']
afill	v	satisfy
afindand	n	inventor
afix	v	appoint
afloat	adj	drunk,intoxicated,shickered.
afold	adj	simple,single,one alone,singular,peculiar,matchless, onefold [oe. anfeald]
afollowfull	adj	successful
afollowing	n	success
afore	adv	previously
afore	n	front
afore	prep,adv	(archaic/dialectal) before, before,previously,whilom [oed,still use in some english dialects and lowland scots,oe onforan,me aforen,aforne (a + fore)]
aforeness	n	preëxistence
aforesaid	adj	mentioned earlier,previously, aforementioned,foregoing,forenamed,said [oed,still in use. first documented in the 14th century. see the origins of afore + said]
aforness ellen	n	zeal
afraid adj.	afeared,frightened	aveared	somerset
afraid of water	adj	aquaphobic
african wild dog	lycaon pictus	highsun wild dog, highsun hunting dog, highsunland fayed dog, fayed hunting dog, fayed wolf
after	adj	according to
after	adj	second
after all	adv	ultimately
after-	pfx	post-
after-stampness	(post impressionism)
after-think	v	repent
afterbeing	n	post-existence
afterbirth mothercake	n	placenta
aftercomer	n	descendant
aftercwethe	v	abjure
afterdeal	n	disadvantage
afterfollow	succeed	æfterfolgian
afterfollowedness	sequel	æfterfylgednes
afterfollower
afterfollower	n	successor,the one to come after, []
afterfollower	successor	æfterfylgere
afterfollowing	n	sequel
aftergoer	descendant	æftergenga
aftergoingness	posterity	æftergengnes
afterlean	n/v	reward
afterlife	n	post-existence
afterling	n	descendant
afterlithe	n	july
aftermath	n	consequence
aftermath	n	effect
aftermath	n	sequence
aftermath offleading	n	result
afterness	n	posteriority
afternoon(s).	n	the buttocks,esp. when large,shapely and female.
afters	n	dessert
afters	n	pudding,dessert,sweets,any food,part of a meal that comes after the main course.
aftershock	n	trauma
aftertale	n	epilogue
afterthought	n	epilogue
afterthought	n	reconsideration
afterthought	n	youngest child of a family,conceived long after its sibling.
afterthought afterword	n	post script (p.s.)
afterwardness	posterity	æfterwardnes
afterwere	n	posthuman
afterweredom	n	posthumanism
afterword end-speech	n	epilogue
afterword,end-speech	n	epilogue
afterwrit	n	post script (p.s.)
afteryule	n	january
aftnewing	restoration	eftniwung
aftwagon	n	caboose
again	adv	additionally
against	prep	versus
against witherward	adv	contrary
agathology	goodnessfrod
ageap	adj	trivial
agenbirth +birth)	n	renaissance
agenclepe	v	rename
ages	n.	a long time ago	donkey's years	essex
agether bewed	v	unite
aghast	adj	afraid
aginner	n	one who deliberately takes an opposition stance,usu out of envy,spite. ,contrarian.
agive	v	relinquish
agive	vb/n	offer
agmatology	cracklore of bones
agnatha	jawless fish
agoodly	adv	seriously
agree: thware	v	accede
agreeable,civil adj.	kindly,friendly,likeminded,welcoming,thwaring	coar	anglo-manx
agrimonia (riverwort)	eawyrt
agrimonia eupataria	sticklewort,stickwort
agrostology	grasslore
aground	adj	prostrate
ahead rathe-ripe	adj	precocious
ahuizotl	handape,waterdog
aies-grimer (based on oe eges-grime - a horrible mask	n	creature
ail	n	fever
ail	v	afflict
ail	v	persecute
ail	vb/n	trouble
ailuridae	overfirefoxes
ailuropoda	catbears
ailuropodinae	overcatbears
aiming at	getting a bead on/ goalset
ait	n	isle,islet
aitland	n	isle
ajuga reptans	sicklewort,self-heal
aken	v	produce,bring forth
akin	adj	alike,related by blood, similar,related,close,near,corresponding,comparable,of similar character. [mw,ene of kin, arose in the mid 16th century.]
akin	adj	identical
akin	adj	parallel
akin	adj	related
akin, akind	adj	similar
akinside	n	parallelogram
alack	interj	alas
albanish
albertosaurus	genus albertosaurus	albertsask	chalken
alderman, redeman, redegiver,theagher	n	counsel(l)or
alderreckoner	n/vb	compute(r)
alderrimer	n/vb	compute(r)
alderthinker endbeirdling	n/vb	compute(r)
ale-knight	n	a drunkard.
ale-spinner	n	a brewer, a manufacturer of beer and wine. ,publican.
ale-spinner	n	a brewer, brewer [slang,from oe eala (ale) & spinnan"]
aleasand	n	deliverer
aleasand	n	deliverer,redeemer,liberator, [oe aliesend]
alease	redeem,save	aliesan
alease	v	redeem
aleaseness	redemption	alesnis
aled	adj	drunk,intoxicated,aled-up.
alehouse	n	a building in which ale can be bought and drunk, pub,tavern [uncommon,from oe eala-hus]
alehouse	n	pub(lic house)
alehouse gesthouse winehouse beer hut	n	tavern
alertness,ability	n.	deftness,rathness	dossity	buckinghamshire
alethiology	truthlore
alf	n	an unsophisticated nationalistic male,(made obsolete by the term "ocker") nb: from alfred.
algebra	rimewilery
algorithm	rimewile
alhood	n	entirety
alie,alying,alay,alain undernick	v	succumb
alien	outworlder,offworlder
alight	n	relieve
alike	adj	equal
alike	adj	identical
alike	adj	similar
alike akind	adj	comparable
aliken	compare	anlician
alikeness	n	equality
alikeness	n	resemblance
alikeword	n	analogy
alithe	v	dismember
alive	adj	aware,in the know about a criminal activity,job.
alkali metals	limecleavers,ashblomen
alkaline earth metals	ashmolds
all along	prep	concurrently
all but	adv	virtually
all but	adv/phr	essentially
all hands	n	all concerned, the entire group,team. "all hands to the plow."
all in	adj	exhausted,tired,drunk. ,of an object: dilapidated,run down. 3. everything.
all in all	adv	actually
all in all	adv	basically
all know	adj	like a bookworm. ,bookish. 3. a know-all.
all mouth	adj	talkative and unreliable.
all over	adj	absorbed in,obsessed by,'as all over oneself: extremely self-satisfied.
all right	adj	acceptable
all right	adj	okay
all right	interj	an exclamation of strong approval,especially of something well done,successful.
all set	adj	ready to go, prepared,ready to undertake a project,some action.
all seven	adv	eveything,almost everything required.
all that	n	very important influential person. ,to overestimate one's important,as " one thinks one is all that." 3. an object excellent and wonderful. 4. a person in possession of all good qualities.
all the more	adv	particularly
all the twos	n	the number twenty-two (22), thus all the threes,(33),all the fours,(44),up to 99.
all there	adj	sane,right in the mind, intelligent,together, opposite: "not all there." ,honest,reliable. 3. as desired,satisfactory. 4. smart,aware. 5.
all wet	adj	completely,totally mistaken.
all'knowningish	adj	having an awesome wisdom,and a vast amount,almost all,of intelligence.
all-and-all	n	one best clothes,outfits.
all-anymore	adj	used up,finished,gone,spent.
all-but	adv	practically
all-fired	adj	infernal
all-fired	adj	very much so,extremely,particularly excessively as an intensifier,as in "all-fired up." ,all-firedly.
all-hallows	n	the tolling place,presumably the place where horse,other types of thief struck their targets,chiefly clergyman.
all-heal	n	valerian
all-in	adj	comprehensive
all-in	adj	universal
all-in	n	encyclopedic
all-in-all	adv/phr	essentially
all-in-one	adj	multi-purpose
all-kinds-of sundrying	n	farrago
all-knowing	adj	omniscient
all-night man	n	a body-snatcher. ,resurrectionist.
all-nighter	n	a prostitute's client who pays for a whole night's sex. ,aanything that lasts all night,whether work,study,transport,entertainment.
all-ou-	adj	complete
all-out	adj	damn
all-out	adj	decisive
all-out	adj	exhaustive
all-out	adj	holding nothing about, sparing nothing, an all-out effort. ,exhausted. 3. vigorous,zealous.
all-out	adj	perfect
all-out	adj	total
all-out war	n	warfare involving total mobilization of weapons and troops.
all-outadv,fully	adj	comprehensive
all-outadv: fully	adj	comprehensive
all-over	adj	ubiquitous
all-over	n	feeling of unease,illness that extends through one's body. ,a thorough inspection,a lengthy visual assessment: " the once-over." 4. a generalised intensive for either best,worst,as in all-over wonderful,all over-dreadful.
all-over-each-other-ness	n	a gropy,feelly,public display of affection,a thing that many of us don't like to see.
all-overish	adj	feeling a little unwell,usually as a forerunner to an acute attack of some illness.
all-overishness	adj	the feeling of being slightly unwell,usually as a forerunner to a full-blown attack of some illness. ,a sensation of feeling unwell.
all-overs	n	a nervy,jittery,uncertain feeling. ,feelings of irritation 3. a sick,unwell feeling. 3. feeling of ill-health.
all-right	adj	good,commendable,of the proper sort.
all-right	adv	safely,securely.
all-shot	adj	worn-out,wearied,exhausted,stuffed.
all-that	adv	more so,in additional,additionally.
all-the-while	prep	concurrently
all-time	adj	the greatest,the tops,the very best,all the best,the most memorable on record.
all-timer	n	the best,greatest example of,an "all-time" record.
all-up	adj	ruined,finished,defeated. ,dead,as 'it all up (over) with john brown."
alland	n	pangaea
allay	n	relieve
allay	v	alleviate
allay	v	ease
allay	v	quit
allay frithen	v	appease
allay smolten	v	pacify
allay sorrow	v	console
allegro	quick,brisk
allegro moderato	somewhat quick
alley-way	n.	lane,bye-way,wayleat	drongway,loke,sniket,ginnell,jetty,scutchel	devon,norfolk,staffordshire,yorkshire,lincolnshire,lincolnshire
allfolks	n	population
allhallowmas	n	all saints day
allhomely	adj	universal
allhood	n	total, ['all' (all,universal,whole) + 'hood' (state of being)]
alliaria officinalis	penny hedge,garlic root
alligatoridae	broadmouth nixes
allish	adj	infinite
allium sativum	garlic
allium ursinum	ramson,bear's garlic
allmenish
allness	n	universality
allocaudata	elswantlurrows (the prefix "el-," as in "eldritch," comes directly from old english and is cognate to the greek "allo-")
allomorph	bywordling
allophone	byspeechling
allosaurus	genus allosaurus	elask	jurish
allot	v	assign
allsea	n	panthalassa
allsight	n	panorama
allsome	adj	universal
allthede-love	n	popularity
ally	general
almighty	adj	omnipotent
almighty	n	jehovah
almost	adv	virtually
almost	pfx	quasi-
alms	n	charity
almsly	adj	charitable, [oe ælmeslic]
aloftness	n	altitude
alonehood	n	isolation
already	adv	previously
already	adv	without further ado, such being the case. ,right now, at once. 3. very specifically,precisely. (used for a humorous,somewhat exasperated effect.)
alseer	n	internet
also	adv	additionally
also-ran	n	contestant,competitor who makes a poor showing. ,a person,competitive product,etc. that does not succeeed. 3. a person of mediocre talent, a useless person,a failure.
although	prep	despite
altogether	adv	completely
altogether	adv	entirely
altogether	adv	quite
altogether	adv	totally
altogether	n	"the altogether." nude,bare,naked,starkers.
aluminium	13	claysilver,bittersalt	dutch expression ‘het zilver in klei’. calque.
alwayness	n	sempiternity
always	adv	invariably
alworldly	adj	universal
alyssum	madwort
amarantus caudaatus	thrumwort,love-lies-bleeding.
amaze	v	astonish
amazed	n	astonished
amazing	adj	astonishing
amazing	adj	extraordinary
amazing	adj	fabulous
amazing wuldersome	adj	sensational
amazon river dolphin,boto	inia geoffrensis	pink eatumbler
amber	n	bucket
ambight	n	bureau
ambight	n	department
ambight	n	ministry
ambight	n	office
ambight	n	office,service,position
ambight	n	officer
ambight	v	serve
ambight for ricksickerhood	n	ministerium für staatssicherheit (stasi)
ambighter	n	minister
ambrosia artemisifolia	stammerwort,bitterweed,stickweed
ameeder	n	reformer
ameetend	n	asymptote
americium	95	americks ore/stone	calque
amiss	adj	abnormal
ammi majus	bullwort
amone	v	remember
amonsuming	v	excommunication
amorphopallus rivieri	devil's tung.
amper	n	tumor
amphibia	twidwellers,lurrows (cf. g. lurche)
amphibians	amphibia	lurrows
anaconda	genus eunectes	easnake
anacyclus pyrethium	spittlewort.
anagallis arvensis	waywort,sherperd's glass,merecrop
ananas	n	pineapple, [oe ananas]
anapsida	fullskulled creepwights
anarchic	leaderless,unled
anarchism	the creed of leaderlessly run rikes
anarchy	leaderlessness
anatolish
anatomy	bodylore
anbewarp	v	cast away
anchor	n	a young person,typically a younger sibling,babysitter,who inhibits one's pleasure,freedom of movement. ,an unattractive person (the usage by teenagers is probably a play on the name 'anchor' a popular brand of butter in the uk).
anchorman	n	a principle member of a team of news broadcaster who serves as a narrator and whose function is to introduce 'outside'reporters and presenting synopses of their reports.
anchors	n	brakes on a motor vehicle.
and calque of me pety coote	n	petticoat
and how	interj & excl	an interjection of emphatic agreement,confirmation. ,excl,interj. to a superlative degree, to a great extent, to a large amount, on a large scale. "the high-roller is gambling away his wealth,and how" and how emphasizes and intensifies any statement that precedes.
and others	phr	et cetera
and so forth	phr	et cetera
and so on	phr	et cetera
and the like	phr	et cetera
and what-not	phr	et cetera
and-	prefix'	opposition,negation,akin to german ent- and dutch -ont
andante	walking-speed
anday	n	appointed day (religious),day chosen for case to be heard
andblow	v	inflate
andblowing	n	renaissance
andcomer	n	revenant
andet	v	admit,confess, [oe andhetan]
andett	v	confess,' 'acknowledge,' 'praise,' 'glorify
andfilst	v	aid
andget	n	undrestanding,intellect
andgetful	adj	intelligent,sensible
andgetly	n	intellible
andgive	v	return
andglider	n	boomerang
andifraw benither	n	jealous person
andiman	n	jealous person
andiness	n	jealousy
andkind	n	heterosexuality
andkitheness	n	evidence
andland	n	australia
andleth	n	face
andliven	n	nourishment
andlove	n	heterosexuality
andlover	n	heterosexual
andlust	n	heterosexuality
andluster	n	heterosexual
andqueeth	v	contradict
andquiss	n	answer
andrew's rood	n	saltire
androcide	manslaughter
android	werehue (andros = were (man,human) -oid = -hue (@oe hiwe))
andromeda	tied maiden	nickname of andromeda
andromeda polifolia	moorwort
andsake	v	deny
andstanding cause: frume	n	origin
andtoken	n	ampersand
andward	adj	present
andward	adj	present, here, [from oe andweard]
andward	n	vanguard
andwardness	n	presence
andwave	n	tsunami
andweapon	v	disarm
andweaving	n	reconciliation
andwharve	v	revert
andwiseness	n	experience
andwist	n	support
andwitness	v	contradict
andwliter pl: andwliten	n	face
andwork	n	matter
andwork	n	matter,substance,matterial
andwork	n	physical substance, material,matter [from oe andweorc]
andwrite imitate: evenledge	v	copy
andy	adj	jealous
andy	adj	resentfully envious, jealous [oe andig]
andy jealous	adj	envious
andy,jealous	adj	envious
anease	v	analyze
anemology	windlore
anemone nemorosa	tall thimbleweed.
anemone virgiana	thimbleweed.
anether	v	abase
anether	v	humiliate
anether	v	humiliate, [me anetheren]
anew	to renew	edniwian
anew	v	renew, [oe edniwian]
anewed	renewed	edneowe
angbreast	asthma	angbreost
angbreast	n	asthma
angel	n	a prostitute,sex-worker,skank,harlot,harridan (orig. applied only those prostitutes who plied their trade near "angel" drinking house in islington,london). ,a young woman,esp. a pretty one. 3. a young homosexual companion.
angel	n	the prospective victim of a scam,swindle,confidence trick. ,one who financially backs a scheme esp. one who puts his money into a theatrical show,stage production. (my father angeled one of fitzpatrick's plays.) 3. a person who contributes to a politician's campaign fund. 4. a homosexual.
angel dust	n	narcotics,as a mixture of cocaine,heroin,and morphine,which can be smoked,injected. ,tobacco,marijuana,mixed with phencyclidine. 3. finely cut up marijuana. 4. synthetic heroin. 5. angel mist.
angel kisses	n	freckles (freckling being the sign of angelic affection).
angel lust	n	(slang) death erection.
angel maker	n	an abortionist. ,any weapon that causes death.
angens	n	anxiety
anger grill	v	offend
anget	n	intellect, [oe andgiet]
anget	n	rationalism
angetful	adj	rational
angiosperma	inchestedseeds
angle	hern,nook,winkle
angle	n	pole
angle	winkle (@oe wincel,cf. nhg winkel,swed. vinkel),nook,horn
anglish
anglish horn	(cor anglais)
angs	n	anxiety
angsomely	painfully	angsumlice
angsomeness	distress,pain	angsumnes
angst	n	misery
ankle	n	to walk
ankle-biter	n	a small child - crawling around at ankle height.
ankle-spring warehouse	n	the stocks.
anklebone	n	talus bone
ankylosaurus	genus ankylosaurus	meldedask	chalken
anledge	v	unite
anleth	face	andwlita
anleth leer	n	face
anomalocaris	genus anomalocaris	weirdshrimp	welsh
anowly	adv	just
anseen	n	figure
anspeak	v	contradict
anspeech	n	contradiction
answer	n	response
answer	v	respond
answer andword andsware	vb/n	reply
answer loose	v	solve
answering	adj	responsive
ant bear	n	aardvark
ant-bear	n	aardvark
antake (antaking)	v	to subtract,to take from,to take apart, [calque from nhg: ent+nehmen]
antbear earthpig	n	aardvark
antbear,earthpig	n	aardvark
antelope	buck (cf. arf. bok)
antennaria dioica	catsfoot.
anthemis cotula	balder's brae
antherix nobilis(camomile)	maythe,mayweed
anthropology	kithlore
antiaris toxicaria	bark cloth tree
antlia	loftpump
anura	frogs,froshlurrows (cf. g. froschlurche)
anus	arsegong,endtharmsopening
anvil	n	the lock (usually of iron) on which the smith hammers and shapes his metal, also fig, smithy's block [from oe anfilti an,& perh filtan to weld]
anvil earanvil	n	incus
anvilbone	n	incus
anweald	n	empire
anwield	n	imperialism
anyhow	adv	indifferently,carelessly. ,disorganised,messy.
anywhen	adv	at any time
anywho	pn	anyone
anywhy	adv	for any reason
apatosaurus	genus apatosaurus	swikefulask	jurish
ape	adj	stupid and destructive, irrational,crazy.
ape	clade hominoidea	mennishape (cf. du. mensaap, nhg menschenaffe)
ape	n	an extremely strong and pugnacious hoodlum, a strong arm man,goon,muscleman. ,the best,greatest,the ultimate.
ape	v	emulate
ape	v	imitate
ape-hangers	n	motorcyclists. ,high swooping motorcycle handlebars.
ape-head	n	a fool,idiot,stult.
ape-out	v	to lose control,to act in a wild manner.
apebreadwood	n	baobab
aperture sight	ghost ring,peep sight,peek-hole
aphid	superfamily aphidoidea	leaflouse (cf. nhg blattläuse)
aphnology	weathlore
apiology	beelore
apocynum	dogbane
apostle	errander,sendling (c.f. nhg 'sendling'),fro-sent (richard taverner)
apostrophe	glide mark,offtaking
apparition	ghost,sighting
apple	n	a man,fellow. ,a ball,esp. a baseball. 3. a street,district where excitement can be found. 4. any large town,city,as the big apple","the apple" - new york. 5. a native american who has taken on the values,behavior of the white community. (red on the outside but white on the inside.)
apple	n	anyone who doesn't take drugs (an apple-for-the-teacher mentality)
apple	n	fruit
apple head	n	idiot,fool,stult.
apple up	v	to toady,curry favor.
apple wine	n	cider
apple-blossom-two-step	n	diarrhea,often contacted on an overseas holiday.
apple-cart	n	the human body.
apple-knocker	n	a unsophisticated rustic,rural person.
apple-monger	n	a pimp,panderer.
applewine	cider	æppelwin
apus	heavenbird
aquarius	water bearer
aquarius	waterbearer (@oe wæterberere)
aqueath	v	declare,express, [oe acweðan]
aquell	v	kill,destroy, [oe acwellan]
aquern	n	squirrel, [from oe acweorna]
aquern o.e. ācweorna	n	squirrel
aquila	ern
aquilegia vulgarius	emy's nighthat
ar	n	copper
ara	giftboard	the constellation is named after a an altar
arabish
arachnida	spiderdeer (cf. german spinnentiere)
aragonish
arc	bow
archaeology	kithlore of yore
archaeopteryx	genus archaeopteryx	orfowl (cf. nhg urvogel), eldwing (calque)	jurish
archosauromorpha	ermenathelothexen/ermenothexen/athelothexen (partial calque)
arctic wolf	canis lupus arctos	snowwolf
arctostaphylis uva-ursi	bearberry
ard snad/sned yard field of knowledge: breadth	n	area
area	ground,shapespan,swathe
areadness foreworth	n	condition
arear	v	arouse
arecaceae	palmkin
arenaria	sandwort
argent	silver
argentinosaurus	genus argentinosaurus	silverlandask	chalken
argentum	47	silver	english
argh	adj	cowardly,fearful, inert,lazy,, reluctant, frightened,timid,hesitant,craven [oe,still in northern dialect]
argmt: shell	n	fabric
argo navis	goldenship	the boat that brought back the golden fleece to greece
argon	18	idlelift,idling,lonelift	half-calques
argyrothecology	till-lore
aria	loftsong
aries	ram
aright	adv/adj	correct
arise	v	originate
aristhyght	n	hope of a ressurection
aristocracy	highbornhood
aristolochia	birthwort
aristolochia clematis	smearwort
arithmetic	rimecraft (@oe rímcræft),ytellcraft/atellcraft (@oe getælcræft)
ark floater	n	a veteran actor.
arky	adj	old fashion,daggy,out-of-date. ,achaic.
arland	adj	native
arlander	n	native
arless	adj	dishonourable
arm	n	control
arm	n	influence,power,muscle. ,armed robbery.
arm	n	peninsula
arm	v	have mercy,show pity
arm-bone	n	humerus
armadillo	order cingulata	shieldling
armband	n	bracelet
armen	adj	general
armenish
armfish	n	octopus
armhood	n	poverty
armnose	n	trunk
armnoser	n	elephant
armpit	n	a very undesirable place, geographical nadir,as "my home town is the armpit of the world." ,the most slummy,rundown and often crime-ridden area of a city,town.
armstrong	n	anything operated,worked by hand rather than machinery.
armstrong heater	n	arms when embracing a loved-one.
armth	n	poverty
armward	n	brassiere
armwaver	n	a politician. ,an excitable,emphatic person.
arn	adj	copper
arnchy	n	one who 'tickets' on himself - 'aren't you the one.' ,one who puts on airs.
arpitish
arromeenish
arse	n	a woman viewed as a sexual object. ,cheek,effrontery,brashness.
arse	n	an unpleasant person,whose actions cause him to be disliked.
arse	v	to behave in a mnanner rude and unacceptable,'be an arsehole'.
arse up	v	to make a mess of something,fail to do something satisfactorily.
arse-backwards	adj	to do things out of order,back to front.
arse-busting	adj	tiring,exhausting,debilitating.
arse-end	n	the end,the rear end. ,the least desirable piece. 3. the least appealing place,as in the "arse end of the world, the arse end of nowhere."- armpit,,an arse-hole of a place.
arse-hammer	n	a motor-cycle,owing to the pounding one receives on one's buttocks when riding a motorcycle.
arse-hole	n	the anus. ,an unpleasant person.
arse-hound	n	womaniser,philander,playboy,cassanova.
arse-kiss	n	to fawn, to court favor in a self-abasing way.
arse-licker	n	a sycophant,toady,crawler.
arse-ways	adj	askew-whiff,back-to-front.
arse-wipe	n	tiolet paper.
arse-wiper	n	a sycophant,a toady,a suck
arse-wise	adj	absurd,illogical,ridiculous,ludicrous.
arsen	adj	anal
arseness	n	wilful stupidity.
